country,per_capita_gni
 Monaco ,234317.0
 Liechtenstein ,198294.0
 Bermuda ,112607.0
 Luxembourg ,93369.0
 Norway ,93149.0
 Switzerland ,90045.0
 Ireland ,76726.0
 Denmark ,70390.0
 United States ,70081.0
 Iceland ,69996.0
 Qatar ,65863.0
 Australia ,64490.0
 Sweden ,62469.0
 Cayman Islands ,61982.0
 Singapore ,58770.0
 Greenland ,56613.0
 Netherlands ,56574.0
 Finland ,54714.0
 Austria ,54082.0
 Israel ,53302.0
 Germany ,52885.0
" China, Hong Kong SAR ",52777.0
 Canada ,51741.0
" China, Macao SAR ",51684.0
 Belgium ,51639.0
 New Zealand ,47876.0
 United Kingdom ,46338.0
 France ,45535.0
 San Marino ,45440.0
 British Virgin Islands ,45120.0
 United Arab Emirates ,43217.0
 Andorra ,42066.0
 Japan ,41162.0
 Kuwait ,36453.0
 Italy ,36216.0
 Republic of Korea ,35329.0
 New Caledonia ,34994.0
 Brunei Darussalam ,31650.0
 Malta ,31132.0
 Spain ,30216.0
 Cyprus ,29554.0
 Slovenia ,28724.0
 Aruba ,27927.0
 Estonia ,27506.0
 Bahamas ,25962.0
 Czechia ,25608.0
 Sint Maarten (Dutch part) ,25320.0
 Bahrain ,24990.0
 Portugal ,24353.0
 Saudi Arabia ,23642.0
 Lithuania ,22926.0
 Turks and Caicos Islands ,22878.0
 Puerto Rico ,22598.0
 Slovakia ,21124.0
 Latvia ,20876.0
 Greece ,20481.0
 French Polynesia ,19915.0
 Cook Islands ,19264.0
 Oman ,18184.0
 Hungary ,18139.0
 Saint Kitts and Nevis ,17835.0
 Nauru ,17434.0
 Anguilla ,17312.0
 Croatia ,16950.0
 Poland ,16908.0
 Barbados ,16887.0
 Uruguay ,16498.0
 Palau ,16252.0
 Montserrat ,16204.0
 Curaçao ,15409.0
 Chile ,15320.0
 Trinidad and Tobago ,15316.0
 Antigua and Barbuda ,14735.0
 Romania ,14416.0
 Panama ,14012.0
 China ,12324.0
 Russian Federation ,11960.0
 Bulgaria ,11889.0
 Costa Rica ,11627.0
 Seychelles ,11500.0
 Cuba ,11086.0
 Guyana ,11063.0
 Malaysia ,10769.0
 Argentina ,10590.0
 Mexico ,9956.0
 Saint Lucia ,9655.0
 Montenegro ,9529.0
 Türkiye ,9519.0
 Maldives ,9391.0
 Kazakhstan ,9168.0
 Mauritius ,9005.0
 Grenada ,8529.0
 St. Vincent and the Grenadines ,8395.0
 Serbia ,8377.0
 Turkmenistan ,8070.0
 Dominican Republic ,8053.0
 Dominica ,7594.0
 Marshall Islands ,7455.0
 Gabon ,7358.0
 Brazil ,7305.0
